,zip,Population,income,edu_high,Emp,Race_w,Race_h,Race_b,Race_a,Race_m,Race_o,Households
0,89002,"34,343","$75,523.000000","7,825",15.7k,26.1k,"4,746","1,027","1,403",955,124,"11,431"
1,89004,345,"$116,500.000000",168,177,329,10,0,6,0,0,144
2,89005,"15,373","$58,573.000000","4,269","6,041",13.0k,"1,408",51,401,386,172,"6,256"
3,89007,"1,423","$42,708.000000",65,489,772,605,0,0,0,46,349
4,89011,"21,506","$58,047.000000","4,964",10.6k,12.8k,"4,081","2,121","1,624",820,106,"8,290"
5,89012,"31,614","$71,231.000000",10.1k,14.7k,21.9k,"4,049","1,544","2,515","1,311",254,"12,918"
6,89014,"38,916","$50,399.000000","8,946",19.5k,22.9k,"8,413","2,757","2,286","1,567",964,"15,514"
7,89015,"41,738","$51,757.000000","7,038",17.1k,28.6k,"7,111","3,397","1,075","1,012",499,"14,782"
8,89018,"4,797","$44,293.000000",347,289,"1,905","1,152","1,397",53,183,107,379
9,89019,"1,762","$37,344.000000",61,775,"1,420",203,42,93,4,0,837
10,89021,"3,322","$86,536.000000",569,"1,300","3,012",303,0,7,0,0,929
11,89025,"1,589","$63,839.000000",132,582,834,518,2,8,7,220,387
12,89027,"16,953","$44,498.000000","3,657","5,356",12.6k,"3,557",117,264,202,210,"7,379"
13,89029,"7,823","$33,185.000000","1,520","2,266","5,859","1,021",438,164,262,79,"4,011"
14,89030,"47,895","$30,348.000000","1,934",17.0k,"4,890",34.1k,"7,410",686,485,312,"13,122"
15,89031,"66,586","$61,252.000000",10.9k,31.2k,24.5k,22.7k,11.1k,"4,277","2,898","1,189","19,905"
16,89032,"43,967","$55,204.000000","5,559",19.6k,"9,683",17.0k,11.9k,"2,774","1,723",844,"13,404"
17,89039,143,"$23,571.000000",14,22,124,5,5,0,0,9,102
18,89040,"3,334","$53,029.000000",545,"1,143","2,978",168,21,11,94,62,"1,247"
19,89044,"18,587","$74,608.000000","7,539","8,034",14.0k,"1,210",856,"2,099",294,80,"8,081"
20,89046,398,"$28,889.000000",72,146,384,14,0,0,0,0,206
21,89052,"51,208","$76,763.000000",18.7k,23.3k,33.3k,"7,158","2,163","6,596","1,665",289,"20,307"
22,89054,48,"$43,438.000000",10,35,48,0,0,0,0,0,25
23,89074,"49,133","$68,249.000000",14.7k,25.9k,32.1k,"8,285","2,427","3,900","1,972",464,"18,994"
24,89081,"34,495","$57,842.000000","5,603",14.6k,10.5k,"9,923","9,385","2,323","1,954",432,"10,035"
